#"Progress (%)","Step","Potential Energy (kJ/mole)","Temperature (K)"
18.9%,18900,635.90283203125,311.0101198539768
18.9%,18950,637.5833740234375,319.2924372968753
19.0%,19000,691.199951171875,285.76943423573425
19.1%,19050,593.857666015625,332.0138087547496
19.1%,19100,640.3941040039062,275.4137437518587
19.1%,19150,623.5118408203125,295.2846911015083
19.2%,19200,641.20849609375,303.1198396118138
19.2%,19250,631.513916015625,292.4935041635244
19.3%,19300,581.4605712890625,298.2850714503913
19.4%,19350,610.0604858398438,288.21428568400603
19.4%,19400,634.48388671875,300.7370358475001
19.4%,19450,667.67333984375,258.8152815455825
19.5%,19500,569.4774169921875,296.9102737256517
19.6%,19550,625.9246826171875,265.03014775691156
19.6%,19600,587.9918212890625,291.69919532879436
19.6%,19650,586.8031005859375,266.94688948331566
19.7%,19700,543.9151611328125,280.311221495606
19.8%,19750,583.877197265625,271.284532515352
19.8%,19800,540.241943359375,311.959625929712
19.9%,19850,613.040771484375,270.96714735266227
19.9%,19900,615.6399536132812,277.8109898380599
19.9%,19950,586.1998291015625,295.13329115082644
20.0%,20000,602.0382080078125,278.661550320218
20.1%,20050,581.039306640625,298.24056841862927
20.1%,20100,628.93994140625,290.10086329545925
20.1%,20150,617.3055419921875,288.48756366394474
20.2%,20200,631.7576293945312,291.7317679868352
20.2%,20250,638.9295654296875,304.68102965659847
20.3%,20300,699.4149169921875,256.9864339586803
20.4%,20350,608.4669189453125,295.84291698103533
20.4%,20400,622.5762939453125,306.7113140125381
20.4%,20450,618.90283203125,294.7165224582381
20.5%,20500,645.074951171875,302.93658441724995
20.6%,20550,657.7677001953125,304.60697212515015
20.6%,20600,647.80859375,313.8495980290436
20.6%,20650,657.9066162109375,301.1026975303155
20.7%,20700,667.471435546875,293.92357538376365
20.8%,20750,651.1222534179688,324.5829260798106
20.8%,20800,636.017578125,365.1868531804035
20.9%,20850,649.5411987304688,326.8301029381608
20.9%,20900,681.7567138671875,317.99107221196726
20.9%,20950,675.1094970703125,369.31177372081163
21.0%,21000,701.6937866210938,324.7428921730071
